id,zone,state,gender,age_category,age
5090,Central,Mississippi,M,medium,38
5091,Eastern,Ohio,F,young,26
5092,Central,Alabama,M,young,23
5093,Mountain,Arizona,F,medium,36
5094,Central,Wisconsin,M,medium,58
5095,Central,Texas,M,young,28
5096,Central,Texas,M,medium,32
5097,Central,North Dakota,M,young,24
5098,Eastern,Indiana,F,medium,33
5099,Central,Illinois,M,medium,42
5100,Eastern,New York,M,medium,33
5101,Central,Oklahoma,M,medium,49
5102,Central,Texas,M,young,25
5103,Eastern,Rhode Island,F,old,66
5104,Pacific,California,M,medium,39
5105,Pacific,California,M,medium,49
5106,Central,Minnesota,M,young,28
5107,Central,Texas,M,medium,50
5108,Central,Iowa,M,medium,43
5109,Eastern,Ohio,M,medium,51
5110,Central,Wisconsin,M,medium,59
5111,Pacific,California,M,young,19
5112,Eastern,New York,M,medium,40
5113,Mountain,Colorado,F,old,71
5114,Eastern,New York,M,medium,56
5115,Central,Illinois,M,medium,47
5116,Eastern,Massachusetts,F,medium,42
5117,Central,Texas,F,medium,32
5118,Central,Texas,F,young,23
5119,Mountain,New Mexico,M,,30
5120,Eastern,North Carolina,M,medium,46
5121,Eastern,Ohio,M,young,22
5122,Central,Texas,M,,30
5123,Mountain,Arizona,M,medium,43
5124,Mountain,Colorado,F,medium,34
5125,Central,Arkansas,F,young,25
5126,Central,Texas,M,young,26
5127,Eastern,Florida,M,medium,42
5128,Central,Texas,M,medium,41
5129,Central,Tennessee,M,medium,49
5130,Central,Texas,M,medium,41
5131,Central,Texas,M,medium,41
5132,Eastern,Michigan,M,medium,45
5133,Central,Tennessee,M,medium,32
5134,Eastern,Ohio,M,medium,41
5135,Mountain,New Mexico,M,medium,34
5136,Eastern,Florida,M,medium,45
5137,Eastern,Michigan,F,medium,48
5138,Eastern,Florida,M,medium,44
5139,Eastern,Georgia,M,young,19
5140,Eastern,South Carolina,F,medium,31
5141,Central,Tennessee,M,medium,58
5142,Pacific,California,M,medium,37
5143,Central,Minnesota,M,young,22
5144,Eastern,Virginia,F,old,61
5145,Central,Minnesota,F,old,61
5146,Eastern,Pennsylvania,F,medium,35
5147,Eastern,Florida,M,old,69
5148,Central,Tennessee,F,medium,38
5149,Mountain,Utah,M,medium,40
5150,Eastern,New Jersey,F,medium,41
5151,Mountain,Montana,M,medium,35
5152,Eastern,Florida,M,young,20
5153,Eastern,Maryland,M,medium,46
5154,Eastern,Maryland,M,medium,50
5155,Eastern,New Jersey,F,young,29
5156,Central,Missouri,F,medium,36
5157,Eastern,Florida,M,young,28
5158,Central,Louisiana,M,young,25
5159,Eastern,Maryland,M,medium,40
5160,Mountain,Idaho,M,young,27
5161,Eastern,Vermont,M,medium,31
5162,Central,Mississippi,F,medium,33
5163,Central,Mississippi,F,young,19
5164,Eastern,Ohio,F,medium,59
5165,Central,Texas,M,medium,49
5166,Eastern,Indiana,M,medium,47
5167,Eastern,Vermont,F,old,68
5168,Eastern,New York,F,,30
5169,Central,Missouri,F,young,19
5170,Mountain,Arizona,M,medium,41
5171,Central,Mississippi,M,medium,50
5172,Mountain,Idaho,M,medium,36
5173,Eastern,Florida,M,medium,43
5174,Eastern,Kentucky,M,medium,48
5175,Central,Illinois,M,,30
5176,Eastern,Indiana,M,young,21
5177,Eastern,Virginia,M,medium,55
5178,Eastern,Pennsylvania,F,,30
5179,Central,Illinois,F,,30
5180,Central,Alabama,M,,30
5181,Central,Illinois,M,,30
5182,Eastern,Florida,M,medium,37
5183,Eastern,South Carolina,F,medium,45
5184,Central,Arkansas,F,young,28
5185,Eastern,Delaware,F,medium,47
5186,Central,Illinois,F,medium,36
5187,Central,Illinois,M,medium,34
5188,Central,Illinois,F,young,19
5189,Eastern,Georgia,M,medium,35
5190,Eastern,Michigan,F,young,27
5191,Pacific,California,F,old,73
5192,Eastern,Pennsylvania,F,medium,41
5193,Central,Alabama,F,medium,35
5194,Eastern,Virginia,M,medium,37
5195,Central,Tennessee,M,medium,35
5196,Eastern,Florida,F,young,28
5197,Central,Wisconsin,F,medium,41
5198,Pacific,California,F,medium,41
5199,Mountain,Montana,M,medium,54
5200,Mountain,Arizona,F,medium,47
5201,Mountain,Arizona,M,young,29
5202,Eastern,New Jersey,F,medium,55
5203,Eastern,Kentucky,F,medium,49
5204,Central,Missouri,M,medium,55
5205,Eastern,Connecticut,F,medium,44
5206,Central,Kansas,M,young,27
5207,Eastern,Pennsylvania,M,medium,38
5208,Eastern,Florida,M,young,24
5209,Mountain,Wyoming,M,young,25
5210,Central,Texas,M,medium,44
5211,Central,Texas,M,medium,52
5212,Mountain,Utah,F,medium,52
5213,Pacific,California,M,medium,46
5214,Central,Texas,M,young,21
5215,Pacific,California,F,medium,54
5216,Eastern,Pennsylvania,M,young,24
5217,Mountain,Utah,M,medium,39
5218,Eastern,New York,M,medium,55
5219,Eastern,Florida,M,medium,45
5220,Eastern,Kentucky,F,medium,41
5221,Central,Minnesota,M,young,26
5222,Eastern,Pennsylvania,M,medium,40
5223,Mountain,Arizona,M,medium,45
5224,Mountain,Colorado,F,young,23
5225,Eastern,Florida,M,medium,41
5226,Central,Minnesota,M,young,22
5227,Central,Tennessee,F,medium,34
5228,Pacific,California,M,medium,56
5229,Eastern,Pennsylvania,F,medium,35
5230,Eastern,Ohio,M,medium,40
5231,Pacific,California,M,medium,46
5232,Mountain,Utah,M,young,23
5233,Eastern,Pennsylvania,F,old,70
5234,Eastern,West Virginia,F,medium,45
5235,Mountain,Colorado,M,medium,31
5236,Eastern,Michigan,M,medium,42
5237,Eastern,Indiana,M,medium,44
5238,Eastern,New York,F,medium,38
5239,Mountain,New Mexico,M,medium,46
5240,Central,Arkansas,F,medium,34
5241,Eastern,South Carolina,F,medium,46
5242,Eastern,Michigan,F,medium,34
5243,Central,Texas,M,medium,43
5244,Central,Illinois,F,medium,31
5245,Mountain,Montana,M,medium,37
5246,Central,Nebraska,M,medium,33
5247,Eastern,Indiana,M,young,18
5248,Mountain,Colorado,F,medium,47
5249,Eastern,Maryland,F,young,25
5250,Eastern,New Jersey,F,medium,41
5251,Eastern,New Jersey,M,young,24
5252,Central,Tennessee,F,young,22
5253,Central,Minnesota,M,medium,46
5254,Eastern,New York,F,young,19
5255,Central,Texas,F,young,26
5256,Eastern,New York,F,young,26
5257,Central,Iowa,M,medium,48
5258,Pacific,California,M,young,25
5259,Eastern,Pennsylvania,F,young,23
5260,Eastern,New York,F,young,26
5261,Central,Wisconsin,F,old,64
5262,Central,South Dakota,F,medium,36
5263,Eastern,Michigan,F,medium,49
5264,Mountain,Idaho,M,young,23
5265,Central,Illinois,M,young,24
5266,Eastern,South Carolina,F,young,21
5267,Eastern,Florida,F,medium,46
5268,Central,Minnesota,F,young,25
5269,Central,Texas,M,old,65
5270,Eastern,Georgia,F,old,61
5271,Eastern,New York,M,medium,41
5272,Eastern,New Jersey,F,young,18
5273,Eastern,Massachusetts,F,medium,53
5274,Eastern,Pennsylvania,F,medium,32
5275,Eastern,Kentucky,F,young,26
5276,Mountain,Arizona,M,medium,36
5277,Eastern,Florida,F,old,63
5278,Central,Missouri,F,medium,43
5279,Pacific,California,M,medium,48
5280,Mountain,Montana,M,medium,57
5281,Central,Illinois,F,medium,58
5282,Eastern,Florida,F,medium,45
5283,Central,Alabama,M,old,61
5284,Mountain,Arizona,M,young,28
5285,Mountain,Colorado,M,medium,60
5286,Central,Louisiana,F,medium,59
5287,Eastern,Florida,F,medium,32
5288,Eastern,West Virginia,F,medium,36
5289,Eastern,Georgia,M,medium,57
5290,Eastern,Florida,M,medium,57
5291,Mountain,New Mexico,M,medium,33
5292,Eastern,North Carolina,M,medium,36
5293,Eastern,Michigan,M,medium,42
5294,Eastern,New York,F,medium,38
5295,Central,Texas,M,medium,47
5296,Eastern,New York,F,young,23
5297,Eastern,Pennsylvania,M,,30
5298,Mountain,Arizona,M,medium,55
5299,Eastern,Michigan,F,young,19
5300,Central,Illinois,F,young,27
5301,Central,Alabama,M,medium,46
5302,Central,Kansas,F,young,27
5303,Eastern,Massachusetts,M,medium,44
5304,Central,Wisconsin,F,medium,35
5305,Pacific,California,F,,30
5306,Eastern,New Jersey,M,medium,43
5307,Mountain,New Mexico,M,young,20
5308,Mountain,New Mexico,M,young,17
5309,Central,Texas,M,young,29
5310,Eastern,Florida,M,medium,38
5311,Central,Illinois,M,medium,42
5312,Central,North Dakota,F,medium,43
5313,Eastern,North Carolina,F,young,18
5314,Mountain,Idaho,M,young,21
5315,Pacific,California,M,young,27
5316,Eastern,New Jersey,M,medium,48
5317,Eastern,Virginia,M,medium,32
5318,Central,Tennessee,F,medium,39
5319,Eastern,Virginia,F,medium,48
5320,Central,Arkansas,F,medium,38
5321,Central,Alabama,M,old,68
5322,Central,Arkansas,M,young,29
5323,Central,Texas,F,young,28
5324,Eastern,Florida,F,medium,40
5325,Central,Mississippi,M,young,28
5326,Central,Minnesota,F,young,26
5327,Eastern,Pennsylvania,F,young,24
5328,Mountain,Idaho,M,medium,34
5329,Eastern,Indiana,M,medium,34
5330,Central,Iowa,M,old,62
5331,Eastern,Pennsylvania,M,medium,60
5332,Central,Tennessee,M,medium,31
5333,Mountain,New Mexico,F,medium,31
5334,Central,Arkansas,M,young,23
5335,Mountain,Montana,F,young,19
5336,Central,Missouri,F,young,23
5337,Mountain,Montana,M,young,24
5338,Eastern,Ohio,M,medium,50
5339,Eastern,Georgia,F,medium,46
5340,Central,Texas,M,medium,50
5341,Central,South Dakota,M,medium,39
5342,Central,Mississippi,F,old,62
5343,Eastern,Kentucky,M,medium,51
5344,Central,Illinois,F,medium,32
5345,Eastern,Indiana,F,medium,39
5346,Eastern,Rhode Island,M,young,21
5347,Mountain,Arizona,F,medium,53
5348,Eastern,Pennsylvania,M,medium,37
5349,Mountain,Idaho,F,medium,52
5350,Central,Missouri,F,medium,34
5351,Eastern,New York,F,old,68
5352,Eastern,North Carolina,M,young,29
5353,Eastern,New York,F,young,21
5354,Central,Texas,F,medium,37
5355,Eastern,Georgia,M,medium,32
5356,Eastern,Ohio,F,medium,38
5357,Mountain,Arizona,M,medium,53
5358,Central,Illinois,M,young,26
5359,Central,Texas,M,medium,31
5360,Central,Wisconsin,F,medium,31
5361,Eastern,Massachusetts,M,medium,36
5362,Eastern,Vermont,F,young,18
5363,Eastern,North Carolina,M,young,25
5364,Eastern,Pennsylvania,M,medium,42
5365,Eastern,Vermont,F,medium,35
5366,Eastern,South Carolina,F,medium,48
5367,Central,Arkansas,M,young,22
5368,Central,Missouri,M,medium,35
5369,Eastern,North Carolina,M,young,20
5370,Eastern,New York,M,old,73
5371,Mountain,Utah,M,young,29
5372,Eastern,Pennsylvania,F,medium,42
5373,Central,Illinois,M,medium,41
5374,Mountain,Colorado,M,,30
5375,Central,Alabama,M,young,24
5376,Eastern,Florida,F,medium,31
5377,Eastern,South Carolina,M,medium,34
5378,Central,Mississippi,F,medium,44
5379,Mountain,Colorado,M,medium,51
5380,Eastern,South Carolina,M,young,22
5381,Mountain,New Mexico,M,medium,33
5382,Eastern,New York,F,medium,31
5383,Eastern,New Jersey,M,old,76
5384,Eastern,New Jersey,F,medium,58
5385,Eastern,Florida,F,medium,43
5386,Central,Minnesota,F,,30
5387,Eastern,Indiana,M,medium,47
5388,Eastern,South Carolina,M,young,26
5389,Eastern,Virginia,M,medium,51
5390,Central,Texas,F,medium,35
5391,Mountain,New Mexico,M,medium,54
5392,Eastern,Virginia,M,medium,40
5393,Central,Texas,M,medium,43
5394,Eastern,Virginia,M,old,75
5395,Central,Texas,F,medium,39
5396,Central,Arkansas,M,young,22
5397,Eastern,New Jersey,M,medium,54
5398,Mountain,Utah,F,medium,50
5399,Central,Mississippi,F,medium,42
5400,Eastern,Georgia,M,young,28
5401,Eastern,Maine,M,medium,50
5402,Central,Texas,M,young,19
5403,Eastern,New York,F,medium,33
5404,Central,Tennessee,M,medium,32
5405,Eastern,Indiana,M,medium,51
5406,Mountain,Wyoming,F,medium,39
5407,Central,Tennessee,F,young,24
5408,Eastern,Michigan,F,medium,43
5409,Central,Mississippi,M,young,27
5410,Eastern,New Hampshire,F,medium,35
5411,Pacific,California,M,medium,32
5412,Mountain,Arizona,M,old,62
5413,Central,Oklahoma,M,medium,41
5414,Eastern,Florida,M,medium,34
5415,Eastern,Kentucky,M,medium,52
5416,Mountain,Montana,M,medium,36
5417,Eastern,Ohio,M,medium,34
5418,Mountain,New Mexico,F,young,22
5419,Central,Mississippi,F,young,17
5420,Eastern,Indiana,F,young,23
5421,Eastern,New York,M,young,29
5422,Eastern,Ohio,M,young,29
5423,Mountain,Utah,F,medium,36
5424,Mountain,Colorado,M,medium,38
5425,Mountain,Utah,M,medium,45
5426,Central,Tennessee,F,medium,35
5427,Eastern,Pennsylvania,F,medium,41
5428,Mountain,Arizona,F,medium,57
5429,Eastern,Massachusetts,F,medium,55
5430,Eastern,Florida,F,young,23
5431,Central,Illinois,M,young,21
5432,Eastern,Indiana,F,medium,51
5433,Eastern,Georgia,M,medium,51
5434,Mountain,Arizona,F,medium,44
5435,Central,Iowa,M,medium,39
5436,Eastern,West Virginia,M,young,20
5437,Central,Wisconsin,M,,30
5438,Mountain,Colorado,F,medium,48
5439,Central,Alabama,M,young,17
5440,Eastern,New Hampshire,M,medium,56
5441,Eastern,Georgia,F,medium,34
5442,Central,Wisconsin,F,old,62
5443,Central,South Dakota,M,medium,55
5444,Mountain,Utah,M,young,26
5445,Central,Illinois,M,medium,49
5446,Central,Texas,F,,30
5447,Pacific,Oregon,M,young,26
5448,Eastern,New York,F,medium,53
5449,Eastern,Florida,F,medium,44
5450,Eastern,Pennsylvania,M,medium,40
5451,Central,Kansas,F,medium,48
5452,Eastern,Florida,F,young,25
5453,Central,South Dakota,M,medium,43
5454,Eastern,Florida,M,young,26
5455,Central,Louisiana,M,medium,32
5456,Eastern,Florida,M,medium,31
5457,Central,Wisconsin,F,medium,45
5458,Eastern,South Carolina,M,old,61
5459,Eastern,New York,F,medium,58
5460,Central,Illinois,F,medium,33
5461,Eastern,New Jersey,F,medium,34
5462,Central,Louisiana,M,young,22
5463,Central,Alabama,F,medium,49
5464,Central,Texas,M,young,27
5465,Eastern,North Carolina,M,medium,55
5466,Central,Wisconsin,M,young,26
5467,Central,Illinois,F,medium,49
5468,Eastern,Indiana,F,old,68
5469,Eastern,Pennsylvania,M,medium,36
5470,Eastern,Florida,M,old,64
5471,Eastern,Delaware,F,medium,44
5472,Eastern,Kentucky,F,medium,31
5473,Eastern,Georgia,F,young,26
5474,Mountain,Utah,M,young,28
5475,Pacific,Oregon,M,medium,39
5476,Eastern,Pennsylvania,F,young,18
5477,Central,Illinois,F,medium,44
5478,Eastern,West Virginia,F,medium,41
5479,Mountain,Arizona,F,medium,54
5480,Mountain,Arizona,M,medium,41
5481,Pacific,California,F,young,20
5482,Eastern,Massachusetts,M,young,29
5483,Central,Louisiana,M,young,28
5484,Central,Minnesota,F,young,20
5485,Eastern,North Carolina,M,medium,37
5486,Eastern,New Hampshire,M,young,25
5487,Eastern,Maryland,F,medium,54
5488,Eastern,North Carolina,F,medium,41
5489,Eastern,New York,F,medium,50
5490,Central,Illinois,F,medium,39
5491,Central,Texas,F,medium,41
5492,Eastern,Ohio,M,medium,41
5493,Eastern,New Jersey,M,medium,46
5494,Eastern,Georgia,M,medium,52
5495,Mountain,Montana,F,young,21
5496,Central,Minnesota,F,medium,48
5497,Mountain,Colorado,F,young,21
5498,Central,Wisconsin,F,medium,44
5499,Mountain,Colorado,M,medium,43
5500,Pacific,California,F,medium,38
5501,Pacific,Washington,F,medium,41
5502,Eastern,North Carolina,F,medium,55
5503,Central,Minnesota,M,,30
5504,Mountain,Colorado,F,medium,34
5505,Central,Tennessee,M,medium,35
5506,Eastern,South Carolina,M,young,21
5507,Central,Kansas,M,medium,36
5508,Eastern,Michigan,M,medium,39
5509,Pacific,California,M,medium,33
5510,Eastern,Kentucky,F,medium,50
5511,Eastern,New York,F,medium,45
5512,Pacific,Oregon,M,old,62
5513,Central,Texas,M,medium,46
5514,Eastern,Ohio,F,medium,41
5515,Central,Kansas,M,medium,35
5516,Mountain,Montana,M,medium,42
5517,Eastern,Maine,M,medium,50
5518,Eastern,New York,F,medium,33
5519,Central,Texas,F,young,29
5520,Eastern,Massachusetts,M,medium,51
5521,Central,Minnesota,M,medium,44
5522,Eastern,New York,M,medium,35
5523,Eastern,New York,F,young,25
5524,Eastern,Kentucky,M,medium,37
5525,Central,Oklahoma,M,young,21
5526,Central,Arkansas,F,medium,45
5527,Central,Texas,F,young,19
5528,Mountain,Arizona,M,medium,46
5529,Eastern,Michigan,F,medium,40
5530,Mountain,Arizona,F,medium,45
5531,Central,Illinois,M,medium,31
5532,Eastern,North Carolina,M,medium,35
5533,Central,Missouri,M,medium,44
5534,Central,Louisiana,M,medium,35
5535,Pacific,California,F,medium,35
5536,Central,Wisconsin,M,young,26
5537,Central,Kansas,M,medium,46
5538,Eastern,Massachusetts,F,,30
5539,Eastern,Florida,F,medium,34
5540,Central,Arkansas,F,medium,38
5541,Eastern,Ohio,M,medium,38
5542,Mountain,Colorado,F,medium,38
5543,Eastern,Florida,M,medium,46
5544,Eastern,Connecticut,M,medium,39
5545,Eastern,Florida,M,young,21
5546,Central,Louisiana,M,medium,32
5547,Central,Alabama,M,medium,51
5548,Eastern,Florida,M,young,27
5549,Pacific,Washington,M,young,20
5550,Eastern,Virginia,M,medium,36
5551,Eastern,Michigan,F,medium,39
5552,Pacific,California,F,medium,59
5553,Central,Illinois,M,medium,37
5554,Eastern,South Carolina,F,medium,58
5555,Eastern,New Jersey,M,young,25
5556,Central,Minnesota,M,medium,33
5557,Central,Mississippi,M,medium,45
5558,Mountain,Colorado,F,medium,40
5559,Mountain,Colorado,M,young,19
5560,Eastern,Ohio,F,medium,31
5561,Mountain,Utah,M,medium,38
5562,Central,Missouri,M,medium,32
5563,Eastern,Georgia,M,medium,49
5564,Eastern,Michigan,M,medium,36
5565,Eastern,New York,F,young,21
5566,Eastern,Ohio,M,medium,35
5567,Eastern,Pennsylvania,F,medium,39
5568,Central,Louisiana,F,medium,44
5569,Central,Missouri,M,medium,34
5570,Central,North Dakota,M,medium,37
5571,Mountain,Wyoming,F,medium,32
5572,Pacific,California,M,medium,40
5573,Eastern,Ohio,M,young,28
5574,Central,Mississippi,M,old,61
5575,Central,Louisiana,M,medium,52
5576,Eastern,Pennsylvania,F,young,26
5577,Central,Oklahoma,F,young,23
5578,Central,Texas,F,medium,60
5579,Eastern,South Carolina,M,medium,46
5580,Eastern,Florida,F,old,80
5581,Eastern,Georgia,F,young,26
5582,Eastern,Ohio,F,medium,43
5583,Eastern,North Carolina,F,medium,46
5584,Eastern,North Carolina,F,young,18
5585,Central,Alabama,F,young,21
5586,Central,Texas,M,young,25
5587,Eastern,New York,F,medium,33
5588,Central,Texas,M,medium,34
5589,Eastern,North Carolina,M,medium,34
5590,Central,Louisiana,M,young,18
5591,Eastern,Michigan,F,medium,46
5592,Central,Texas,M,medium,53
5593,Eastern,Virginia,M,medium,34
5594,Eastern,North Carolina,M,medium,51
5595,Pacific,Oregon,M,medium,49
5596,Mountain,Arizona,M,medium,34
5597,Pacific,California,M,medium,53
5598,Mountain,Arizona,M,medium,34
5599,Eastern,New York,F,medium,37
5600,Eastern,Florida,M,young,21
5601,Mountain,Montana,M,medium,41
5602,Eastern,Pennsylvania,M,medium,38
5603,Eastern,Georgia,F,young,28
5604,Eastern,Michigan,F,old,68
5605,Eastern,Pennsylvania,M,medium,53
5606,Mountain,Colorado,M,medium,51
5607,Central,Kansas,F,medium,33
5608,Mountain,Utah,F,old,63
5609,Eastern,New York,F,medium,33
5610,Central,Minnesota,F,,30
5611,Eastern,New York,M,medium,38
5612,Eastern,Connecticut,F,young,19
5613,Eastern,Georgia,F,medium,43
5614,Central,Illinois,F,young,21
5615,Eastern,Ohio,M,medium,52
5616,Eastern,Michigan,M,young,27
5617,Eastern,Ohio,F,medium,31
5618,Eastern,Michigan,M,medium,36
5619,Central,Minnesota,M,young,21
5620,Eastern,New York,F,medium,53
5621,Mountain,Utah,F,medium,45
5622,Eastern,Maryland,F,medium,43
5623,Mountain,Colorado,F,young,24
5624,Central,Texas,M,medium,40
5625,Central,Oklahoma,M,young,22
5626,Pacific,California,F,young,25
5627,Pacific,California,M,young,22
5628,Eastern,Florida,F,medium,41
5629,Central,Missouri,M,medium,55
5630,Eastern,New Jersey,M,medium,37
5631,Eastern,Ohio,F,young,18
5632,Eastern,Michigan,M,medium,42
5633,Mountain,Arizona,M,young,26
5634,Eastern,Maryland,F,medium,49
5635,Eastern,New Jersey,M,medium,50
5636,Eastern,Massachusetts,F,medium,32
5637,Eastern,Virginia,F,medium,45
5638,Eastern,New York,F,medium,34
5639,Pacific,California,M,medium,48
5640,Eastern,Massachusetts,M,medium,39
5641,Eastern,Maine,M,old,62
5642,Mountain,New Mexico,M,medium,38
5643,Eastern,New York,M,medium,36
5644,Mountain,Colorado,M,medium,33
5645,Eastern,Ohio,F,medium,39
5646,Mountain,Arizona,F,old,68
5647,Central,Mississippi,F,medium,60
5648,Central,Illinois,M,young,27
5649,Eastern,Georgia,M,old,62
5650,Pacific,California,F,medium,40
5651,Mountain,Montana,F,old,86
5652,Eastern,Pennsylvania,M,young,18
5653,Pacific,Washington,M,medium,47
5654,Eastern,Pennsylvania,F,,30
5655,Mountain,Arizona,F,medium,38
5656,Pacific,California,M,medium,35
5657,Pacific,California,M,young,19
5658,Eastern,New Jersey,F,young,27
5659,Mountain,Idaho,M,medium,49
5660,Pacific,Washington,M,medium,37
5661,Eastern,North Carolina,M,young,19
5662,Central,Texas,F,medium,32
5663,Pacific,California,F,medium,53
5664,Eastern,Georgia,F,medium,38
5665,Pacific,California,F,young,28
5666,Eastern,New Hampshire,M,young,22
5667,Central,Missouri,F,young,18
5668,Central,Texas,M,,30
5669,Eastern,Vermont,F,medium,45
5670,Central,Kansas,F,young,29
5671,Central,Texas,F,,30
5672,Central,Illinois,F,young,20
5673,Mountain,Arizona,F,medium,41
5674,Central,Illinois,M,medium,56
5675,Eastern,New York,F,medium,39
5676,Central,Nebraska,M,medium,33
5677,Eastern,Maryland,F,medium,32
5678,Central,Texas,F,young,28
5679,Central,Texas,F,medium,58
5680,Pacific,California,M,medium,50
5681,Eastern,New York,M,young,17
5682,Central,Kansas,M,young,23
5683,Eastern,Maine,M,medium,46
5684,Mountain,Colorado,M,medium,32
5685,Mountain,Arizona,F,medium,41
5686,Eastern,Florida,M,medium,33
5687,Eastern,Michigan,F,young,29
5688,Pacific,California,M,old,72
5689,Mountain,Arizona,F,medium,44
5690,Mountain,Montana,M,young,18
5691,Eastern,Florida,M,medium,57
5692,Eastern,Florida,F,medium,46
5693,Eastern,Pennsylvania,M,young,24
5694,Eastern,Georgia,F,young,28
5695,Eastern,New Hampshire,F,medium,54
5696,Mountain,Arizona,F,medium,35
5697,Mountain,Colorado,M,young,21
5698,Central,Illinois,F,young,18
5699,Eastern,South Carolina,M,medium,42
5700,Eastern,Connecticut,M,medium,45
5701,Eastern,New York,M,medium,45
5702,Eastern,Maryland,M,old,61
5703,Central,Iowa,M,old,62
5704,Central,Illinois,M,medium,44
5705,Central,Texas,F,medium,44
5706,Pacific,California,M,young,20
5707,Mountain,New Mexico,M,medium,41
5708,Central,Minnesota,M,medium,45
5709,Central,Mississippi,F,old,62
5710,Central,Iowa,F,,30
5711,Pacific,Washington,M,old,66
5712,Eastern,Florida,F,medium,43
5713,Pacific,Washington,M,young,19
5714,Central,Tennessee,M,young,18
5715,Eastern,Florida,F,medium,49
5716,Eastern,North Carolina,M,medium,32
5717,Pacific,California,M,young,24
5718,Eastern,North Carolina,F,medium,46
5719,Central,Louisiana,M,medium,44
5720,Eastern,North Carolina,M,medium,36
5721,Central,Mississippi,M,old,64
5722,Mountain,Arizona,M,medium,31
5723,Central,Texas,M,medium,38
5724,Eastern,Connecticut,M,medium,39
5725,Eastern,Indiana,F,medium,51
5726,Central,Illinois,F,medium,39
5727,Eastern,New York,F,medium,47
5728,Central,Minnesota,M,medium,48
5729,Mountain,Colorado,F,old,71
5730,Eastern,New Jersey,M,medium,41
5731,Central,Illinois,F,medium,34
5732,Central,Illinois,M,medium,48
5733,Central,Mississippi,M,young,22
5734,Mountain,Idaho,M,medium,36
5735,Central,Tennessee,F,young,19
5736,Eastern,Virginia,M,medium,56
5737,Eastern,Vermont,M,old,61
5738,Mountain,Arizona,F,medium,46
5739,Eastern,New Jersey,M,young,26
5740,Pacific,Washington,M,young,17
5741,Central,Oklahoma,F,medium,35
5742,Mountain,New Mexico,M,medium,45
5743,Mountain,Arizona,M,young,24
5744,Eastern,Pennsylvania,M,medium,55
5745,Central,Wisconsin,M,young,18
5746,Eastern,Pennsylvania,M,young,20
5747,Eastern,Ohio,F,young,19
5748,Eastern,Virginia,F,medium,35
5749,Eastern,Connecticut,F,medium,45
5750,Mountain,Wyoming,F,medium,36
5751,Central,Missouri,F,young,18
5752,Eastern,New York,M,medium,41
5753,Eastern,Michigan,F,young,20
5754,Eastern,New Hampshire,F,medium,56
5755,Eastern,Ohio,M,medium,44
5756,Eastern,Florida,M,medium,46
5757,Eastern,Florida,F,medium,36
5758,Eastern,Pennsylvania,F,medium,35
5759,Mountain,Arizona,M,old,71
5760,Eastern,Massachusetts,M,young,24
5761,Central,Missouri,M,old,65
5762,Mountain,Wyoming,M,old,69
5763,Central,Missouri,M,young,20
5764,Mountain,Arizona,F,medium,38
5765,Central,Texas,M,medium,34
5766,Eastern,Massachusetts,F,medium,38
5767,Central,Nebraska,F,young,18
5768,Mountain,Arizona,M,old,63
5769,Eastern,New York,F,,30
5770,Eastern,Virginia,M,medium,35
5771,Pacific,California,M,medium,38
5772,Central,Kansas,M,medium,39
5773,Eastern,New York,F,medium,38
5774,Eastern,Ohio,F,medium,47
5775,Central,Texas,M,,30
5776,Mountain,Colorado,M,young,22
5777,Eastern,Michigan,M,medium,34
5778,Pacific,Washington,M,medium,39
5779,Mountain,Arizona,M,medium,33
5780,Eastern,New Jersey,M,medium,59
5781,Central,Mississippi,F,young,24
5782,Central,Texas,M,medium,56
5783,Eastern,Indiana,F,young,29
5784,Eastern,Virginia,F,medium,31
5785,Central,Texas,M,old,64
5786,Pacific,California,M,medium,51
5787,Central,Iowa,M,medium,37
5788,Mountain,New Mexico,F,young,27
5789,Eastern,Florida,M,medium,50
5790,Mountain,Arizona,M,young,19
5791,Eastern,New York,F,medium,38
5792,Eastern,New York,F,old,65
5793,Central,Illinois,M,young,27
5794,Central,Illinois,M,young,24
5795,Eastern,West Virginia,M,young,25
5796,Eastern,Michigan,M,medium,52
5797,Central,Iowa,F,medium,32
5798,Pacific,California,M,old,67
5799,Eastern,Pennsylvania,M,medium,46
5800,Mountain,Arizona,M,medium,42
5801,Mountain,Arizona,F,medium,33
5802,Eastern,Ohio,M,medium,33
5803,Central,Illinois,M,medium,46
5804,Eastern,Florida,M,medium,49
5805,Eastern,New York,M,young,26
5806,Eastern,Florida,F,young,25
5807,Eastern,Virginia,F,young,21
5808,Eastern,Massachusetts,M,old,62
5809,Mountain,Utah,F,medium,40
5810,Eastern,Florida,M,medium,54
5811,Central,Missouri,M,young,22
5812,Central,Illinois,F,medium,45
5813,Mountain,Arizona,F,medium,45
5814,Central,Arkansas,F,medium,58
5815,Eastern,Georgia,F,medium,55
5816,Eastern,Pennsylvania,F,medium,57
5817,Mountain,Arizona,M,medium,57
5818,Eastern,Georgia,F,medium,46
5819,Eastern,Florida,M,medium,44
5820,Eastern,Florida,F,medium,59
5821,Eastern,Virginia,M,young,18
5822,Eastern,Ohio,M,medium,39
5823,Central,Texas,F,medium,60
5824,Mountain,Arizona,M,medium,41
5825,Central,Kansas,M,young,22
